"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C4","2","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"4","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"5","J2, J3, J4, J5, J6, J7, J8, J9","8","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"6","J10, J11, J12","3","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"7","J13, J14, J15","3","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","",""
"8","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"9","R3, R4, R8, R9","4","100K","Resistor_SMD:R_0805_2012Metric","","",""
"10","R5, R6, R7, R10, R11, R12","6","1K","Resistor_SMD:R_0805_2012Metric","","",""
"11","U1, U2","2","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
